resultats-coocurences-kr
token	corpus size	all contexts size	frequency	co-frequency	specificity
문법	157436	19990	113	29	4.07
멕시코	157436	19990	21	10	4.06
지연	157436	19990	21	10	4.06
평가원	157436	19990	8	6	4.05
바와	157436	19990	8	6	4.05
뉴	157436	19990	8	6	4.05
Tandem	157436	19990	8	6	4.05
겪는다	157436	19990	8	6	4.05
원활하게	157436	19990	8	6	4.05
Common	157436	19990	8	6	4.05
마라티어	157436	19990	8	6	4.05
상어	157436	19990	8	6	4.05
1933	157436	19990	8	6	4.05
정책을	157436	19990	8	6	4.05
맞춤법에	157436	19990	8	6	4.05
학교	157436	19990	8	6	4.05
유엔	157436	19990	8	6	4.05
맞지	157436	19990	8	6	4.05
도메인	157436	19990	8	6	4.05
주민	157436	19990	14	8	4.05
Rust	157436	19990	14	8	4.05
마인어	157436	19990	14	8	4.05
중국어의	157436	19990	14	8	4.05
차별	157436	19990	14	8	4.05
동적	157436	19990	29	12	4.04
표준어	157436	19990	206	45	4.04
인간이	157436	19990	25	11	4.04
내용	157436	19990	71	21	4.03
변화	157436	19990	38	14	3.98
따라서	157436	19990	88	24	3.91
추상적	157436	19990	18	9	3.91
단순	157436	19990	15	8	3.77
음성이나	157436	19990	6	5	3.76
스타일	157436	19990	6	5	3.76
구글에서	157436	19990	6	5	3.76
장애를	157436	19990	6	5	3.76
표준말은	157436	19990	6	5	3.76
정치적	157436	19990	54	17	3.75
능력을	157436	19990	27	11	3.69
사용자	157436	19990	45	15	3.68
기술의	157436	19990	12	7	3.67
새로운	157436	19990	65	19	3.65
Java	157436	19990	55	17	3.64
직업	157436	19990	9	6	3.63
언어학에서	157436	19990	9	6	3.63
생활을	157436	19990	9	6	3.63
Z	157436	19990	9	6	3.63
몰타어	157436	19990	9	6	3.63
net	157436	19990	9	6	3.63
상담	157436	19990	9	6	3.63
상세	157436	19990	41	14	3.59
우르두어는	157436	19990	4	4	3.59
개는	157436	19990	4	4	3.59
사멸하였다	157436	19990	4	4	3.59
Grimes	157436	19990	4	4	3.59
그래프가	157436	19990	4	4	3.59
비율이다	157436	19990	4	4	3.59
빨간색은	157436	19990	4	4	3.59
에스파냐어	157436	19990	4	4	3.59
파란색은	157436	19990	4	4	3.59
초록색은	157436	19990	4	4	3.59
보라색은	157436	19990	4	4	3.59
따갈로그어이다	157436	19990	4	4	3.59
규모에도	157436	19990	4	4	3.59
번창하는	157436	19990	4	4	3.59
체로키어가	157436	19990	4	4	3.59
설문	157436	19990	4	4	3.59
조사에	157436	19990	4	4	3.59
집단은	157436	19990	4	4	3.59
나바호족이다	157436	19990	4	4	3.59
애리조나	157436	19990	4	4	3.59
나바호	157436	19990	4	4	3.59
애리조나에	157436	19990	4	4	3.59
북아메리카의	157436	19990	4	4	3.59
독립국	157436	19990	4	4	3.59
36786393	157436	19990	4	4	3.59
러시아어가	157436	19990	4	4	3.59
감사를	157436	19990	4	4	3.59
言	157436	19990	4	4	3.59
보존되는	157436	19990	4	4	3.59
공동체의	157436	19990	4	4	3.59
범위에서	157436	19990	4	4	3.59
사용자들이	157436	19990	4	4	3.59
언어로부터	157436	19990	4	4	3.59
동일	157436	19990	4	4	3.59
허파에서	157436	19990	4	4	3.59
안의	157436	19990	4	4	3.59
사용되었다고	157436	19990	4	4	3.59
믿는	157436	19990	4	4	3.59
언어학용어	157436	19990	4	4	3.59
알타이어족에	157436	19990	4	4	3.59
언어학이란	157436	19990	4	4	3.59
습득하기	157436	19990	4	4	3.59
습득은	157436	19990	4	4	3.59
언어인류학	157436	19990	4	4	3.59
스펙트럼	157436	19990	4	4	3.59
Stackoverflow	157436	19990	4	4	3.59
설문조사	157436	19990	4	4	3.59
명세	157436	19990	4	4	3.59
개선한	157436	19990	4	4	3.59
Forth	157436	19990	4	4	3.59
Scheme	157436	19990	4	4	3.59
모드인	157436	19990	4	4	3.59
ZenScript	157436	19990	4	4	3.59
매크로	157436	19990	4	4	3.59
VHDL	157436	19990	4	4	3.59
TeX	157436	19990	4	4	3.59
특화된	157436	19990	4	4	3.59
요청할	157436	19990	4	4	3.59
파싱	157436	19990	4	4	3.59
가공의	157436	19990	4	4	3.59
Time	157436	19990	4	4	3.59
메모리의	157436	19990	4	4	3.59
해제가	157436	19990	4	4	3.59
결함으로	157436	19990	4	4	3.59
Data	157436	19990	4	4	3.59
CLI	157436	19990	4	4	3.59
비전공자를	157436	19990	4	4	3.59
루비	157436	19990	4	4	3.59
WIPO	157436	19990	4	4	3.59
세계지식재산기구	157436	19990	4	4	3.59
근간을	157436	19990	4	4	3.59
그동안	157436	19990	4	4	3.59
맞춤법과	157436	19990	4	4	3.59
복잡하기	157436	19990	4	4	3.59
제일주의	157436	19990	4	4	3.59
배우가	157436	19990	4	4	3.59
의미에	157436	19990	4	4	3.59
치는가	157436	19990	4	4	3.59
불가능함에도	157436	19990	4	4	3.59
보디랭귀지	157436	19990	4	4	3.59
ex	157436	19990	4	4	3.59
같지	157436	19990	4	4	3.59
않은데도	157436	19990	4	4	3.59
통일안을	157436	19990	4	4	3.59
제시하였는데	157436	19990	4	4	3.59
1935	157436	19990	4	4	3.59
착수했는데	157436	19990	4	4	3.59
결과물은	157436	19990	4	4	3.59
1936	157436	19990	4	4	3.59
맺었으며	157436	19990	4	4	3.59
9457	157436	19990	4	4	3.59
준말	157436	19990	4	4	3.59
분류하였다	157436	19990	4	4	3.59
위원은	157436	19990	4	4	3.59
규정으로서	157436	19990	4	4	3.59
시대가	157436	19990	4	4	3.59
내재한	157436	19990	4	4	3.59
미비점	157436	19990	4	4	3.59
반영하지	157436	19990	4	4	3.59
제기되었다	157436	19990	4	4	3.59
들어갔고	157436	19990	4	4	3.59
맞춤법으로	157436	19990	4	4	3.59
근거한다	157436	19990	4	4	3.59
公用語	157436	19990	4	4	3.59
헌법에	157436	19990	4	4	3.59
강제하는	157436	19990	4	4	3.59
단체의	157436	19990	4	4	3.59
교정하려는	157436	19990	4	4	3.59
강력하게	157436	19990	4	4	3.59
불합리한	157436	19990	4	4	3.59
규제를	157436	19990	4	4	3.59
민주적	157436	19990	4	4	3.59
통제가	157436	19990	4	4	3.59
필요한지	157436	19990	4	4	3.59
비판하는	157436	19990	4	4	3.59
405	157436	19990	4	4	3.59
퀘벡	157436	19990	4	4	3.59
과정에	157436	19990	4	4	3.59
인당	157436	19990	4	4	3.59
필요성과	157436	19990	4	4	3.59
사회에서의	157436	19990	4	4	3.59
중요해졌습니다	157436	19990	4	4	3.59
장벽을	157436	19990	4	4	3.59
지정의	157436	19990	4	4	3.59
보이스’로	157436	19990	4	4	3.59
넘어선다”	157436	19990	4	4	3.59
중요합니다	157436	19990	4	4	3.59
2023	157436	19990	32	12	3.58
특정한	157436	19990	16	8	3.53
언어들	157436	19990	28	11	3.53
이론을	157436	19990	24	10	3.50
인간의	157436	19990	62	18	3.46
유럽	157436	19990	78	21	3.45
과정에서	157436	19990	33	12	3.44
것이	157436	19990	215	44	3.38
여러	157436	19990	142	32	3.36
명령형	157436	19990	25	10	3.33
몽골어	157436	19990	25	10	3.33
음소	157436	19990	17	8	3.32
현상을	157436	19990	17	8	3.32
하였다	157436	19990	17	8	3.32
나온다	157436	19990	17	8	3.32
오해	157436	19990	17	8	3.32
별도의	157436	19990	17	8	3.32
차이	157436	19990	21	9	3.31
소규모	157436	19990	10	6	3.29
사이트	157436	19990	10	6	3.29
개발에	157436	19990	10	6	3.29
Haskell	157436	19990	10	6	3.29
자체의	157436	19990	10	6	3.29
지구	157436	19990	10	6	3.29
민어	157436	19990	10	6	3.29
화자들은	157436	19990	10	6	3.29
이해를	157436	19990	10	6	3.29
규정을	157436	19990	10	6	3.29
공동체가	157436	19990	7	5	3.28
검사	157436	19990	7	5	3.28
말	157436	19990	86	22	3.26
중요한	157436	19990	44	14	3.26
문화어	157436	19990	49	15	3.25
나라의	157436	19990	35	12	3.19
교양	157436	19990	35	12	3.19
계통	157436	19990	26	10	3.18
language	157436	19990	40	13	3.16
모델	157436	19990	14	7	3.15
유지	157436	19990	14	7	3.15
중에서	157436	19990	22	9	3.14
불구하고	157436	19990	22	9	3.14
한글	157436	19990	66	18	3.13
처리	157436	19990	18	8	3.12
고급	157436	19990	18	8	3.12
하드웨어	157436	19990	18	8	3.12
벨기에	157436	19990	11	6	3.01
품사	157436	19990	11	6	3.01
등장	157436	19990	11	6	3.01
중에서는	157436	19990	11	6	3.01
갈등이	157436	19990	11	6	3.01
‘딥엘	157436	19990	11	6	3.01
높은	157436	19990	57	16	3.00
모음	157436	19990	32	11	2.99
스페인	157436	19990	23	9	2.98
현대	157436	19990	102	24	2.98
실제로	157436	19990	47	14	2.96
토글하기	157436	19990	5	4	2.95
예전에	157436	19990	5	4	2.95
옆의	157436	19990	5	4	2.95
불어	157436	19990	5	4	2.95
차지한다	157436	19990	5	4	2.95
사물의	157436	19990	5	4	2.95
문제도	157436	19990	5	4	2.95
초기에	157436	19990	5	4	2.95
기계어	157436	19990	5	4	2.95
ACPI	157436	19990	5	4	2.95
분류할	157436	19990	5	4	2.95
할당된	157436	19990	5	4	2.95
방대한	157436	19990	5	4	2.95
한국조어	157436	19990	5	4	2.95
639	157436	19990	5	4	2.95
더군다나	157436	19990	5	4	2.95
항	157436	19990	5	4	2.95
느껴	157436	19990	5	4	2.95
였다	157436	19990	5	4	2.95
모음을	157436	19990	5	4	2.95
당연하게	157436	19990	5	4	2.95
🤖	157436	19990	5	4	2.95
서울말에	157436	19990	5	4	2.95
언어학은	157436	19990	19	8	2.94
시스템	157436	19990	19	8	2.94
title	157436	19990	8	5	2.91
언론	157436	19990	8	5	2.91
구사자가	157436	19990	8	5	2.91
그리하여	157436	19990	8	5	2.91
서울말로	157436	19990	8	5	2.91
주로	157436	19990	69	18	2.91
음운	157436	19990	53	15	2.89
흔히	157436	19990	48	14	2.87
따른	157436	19990	38	12	2.86
1	157436	19990	857	134	2.80
연구하는	157436	19990	29	10	2.78
가깝다	157436	19990	20	8	2.78
규범을	157436	19990	20	8	2.78
프랑스의	157436	19990	12	6	2.77
출판	157436	19990	12	6	2.77
말하자면	157436	19990	12	6	2.77
지역에	157436	19990	12	6	2.77
인터프리터	157436	19990	12	6	2.77
이론	157436	19990	44	13	2.77
의	157436	19990	476	80	2.76
JVM	157436	19990	16	7	2.75
시대에	157436	19990	16	7	2.75
사용하는	157436	19990	213	41	2.74
한다	157436	19990	362	63	2.69
구강	157436	19990	3	3	2.69
CoffeeScript	157436	19990	3	3	2.69
결과물로	157436	19990	3	3	2.69
해석에	157436	19990	3	3	2.69
TypeS	157436	19990	3	3	2.69
완전하다	157436	19990	3	3	2.69
메이커	157436	19990	3	3	2.69
Specification	157436	19990	3	3	2.69
창조	157436	19990	3	3	2.69
JSP	157436	19990	3	3	2.69
선어	157436	19990	3	3	2.69
아노어	157436	19990	3	3	2.69
소닝	157436	19990	3	3	2.69
케어	157436	19990	3	3	2.69
파괴	157436	19990	3	3	2.69
순화	157436	19990	3	3	2.69
원인	157436	19990	3	3	2.69
이전과	157436	19990	3	3	2.69
번…	157436	19990	3	3	2.69
게임메이커	157436	19990	3	3	2.69
형변환을	157436	19990	3	3	2.69
선어말	157436	19990	3	3	2.69
세부아노어	157436	19990	3	3	2.69
소닝케어	157436	19990	3	3	2.69
이때의	157436	19990	3	3	2.69
자세한	157436	19990	61	16	2.69
선언형	157436	19990	30	10	2.66
기준으로	157436	19990	30	10	2.66
ko	157436	19990	21	8	2.63
유럽의	157436	19990	21	8	2.63
제어	157436	19990	21	8	2.63
국제	157436	19990	51	14	2.62
العربية	157436	19990	9	5	2.62
다양성을	157436	19990	9	5	2.62
대형	157436	19990	9	5	2.62
평가	157436	19990	9	5	2.62
배우기	157436	19990	26	9	2.57
지향	157436	19990	41	12	2.57
올바른	157436	19990	13	6	2.56
일을	157436	19990	13	6	2.56
어떠한	157436	19990	13	6	2.56
정부가	157436	19990	13	6	2.56
인류는	157436	19990	13	6	2.56
논리	157436	19990	31	10	2.55
7	157436	19990	31	10	2.55
북한의	157436	19990	52	14	2.54
나바호어와	157436	19990	6	4	2.53
index	157436	19990	6	4	2.53
oldid	157436	19990	6	4	2.53
이탈리아에서	157436	19990	6	4	2.53
語	157436	19990	6	4	2.53
보편성	157436	19990	6	4	2.53
참고문헌	157436	19990	6	4	2.53
음성과	157436	19990	6	4	2.53
다양하게	157436	19990	6	4	2.53
일종으로	157436	19990	6	4	2.53
이루고	157436	19990	6	4	2.53
넓게	157436	19990	6	4	2.53
찾는	157436	19990	6	4	2.53
구조주의에	157436	19990	6	4	2.53
임베디드	157436	19990	6	4	2.53
LISP	157436	19990	6	4	2.53
NET	157436	19990	6	4	2.53
파이썬과	157436	19990	6	4	2.53
언어와의	157436	19990	6	4	2.53
GML	157436	19990	6	4	2.53
비관리	157436	19990	6	4	2.53
자료형	157436	19990	6	4	2.53
설계	157436	19990	6	4	2.53
근본적으로	157436	19990	6	4	2.53
갈등은	157436	19990	6	4	2.53
깊이	157436	19990	6	4	2.53
Scratch	157436	19990	6	4	2.53
분석과	157436	19990	6	4	2.53
통계를	157436	19990	6	4	2.53
간결하고	157436	19990	6	4	2.53
특허협력조약	157436	19990	6	4	2.53
친연성을	157436	19990	6	4	2.53
비로소	157436	19990	6	4	2.53
제정한	157436	19990	6	4	2.53
낮춤	157436	19990	6	4	2.53
유네스코	157436	19990	6	4	2.53
소통	157436	19990	6	4	2.53
수요의	157436	19990	6	4	2.53
순위가	157436	19990	6	4	2.53
잡고	157436	19990	6	4	2.53
없이는	157436	19990	6	4	2.53
작업에	157436	19990	6	4	2.53
위원회의	157436	19990	6	4	2.53
조선어학회의	157436	19990	6	4	2.53
년대부터	157436	19990	6	4	2.53
맺었다	157436	19990	6	4	2.53
에도	157436	19990	6	4	2.53
규범주의가	157436	19990	6	4	2.53
아닌지	157436	19990	6	4	2.53
규범은	157436	19990	6	4	2.53
기구	157436	19990	6	4	2.53
중앙	157436	19990	6	4	2.53
지정	157436	19990	6	4	2.53
제정	157436	19990	6	4	2.53
생각이	157436	19990	6	4	2.53
발전이	157436	19990	6	4	2.53
개수	157436	19990	6	4	2.53
기술을	157436	19990	6	4	2.53
여러분	157436	19990	6	4	2.53
담론	157436	19990	6	4	2.53
장벽	157436	19990	6	4	2.53
상담을	157436	19990	6	4	2.53
치료	157436	19990	6	4	2.53
가지고	157436	19990	87	20	2.50
객	157436	19990	22	8	2.49
넘어	157436	19990	22	8	2.49
글로벌	157436	19990	32	10	2.45
않는	157436	19990	113	24	2.42
기반	157436	19990	18	7	2.42
월	157436	19990	77	18	2.40
줄	157436	19990	43	12	2.40
한국어가	157436	19990	54	14	2.40
600	157436	19990	10	5	2.38
사용을	157436	19990	10	5	2.38
능력	157436	19990	10	5	2.38
ISO	157436	19990	10	5	2.38
방법	157436	19990	14	6	2.37
간에	157436	19990	14	6	2.37
디지털	157436	19990	14	6	2.37
ㅂ	157436	19990	14	6	2.37
일정한	157436	19990	14	6	2.37
공용어는	157436	19990	14	6	2.37
역사를	157436	19990	14	6	2.37
https	157436	19990	38	11	2.37
언어이다	157436	19990	28	9	2.35
대해	157436	19990	73	17	2.29
특수	157436	19990	34	10	2.26
컴파일	157436	19990	34	10	2.26
영국	157436	19990	34	10	2.26
미국에서	157436	19990	24	8	2.25
변화를	157436	19990	24	8	2.25
인간	157436	19990	29	9	2.25
하나입니다	157436	19990	7	4	2.22
대비	157436	19990	7	4	2.22
176	157436	19990	7	4	2.22
사용자의	157436	19990	7	4	2.22
php	157436	19990	7	4	2.22
유일한	157436	19990	7	4	2.22
모델은	157436	19990	7	4	2.22
방언이라고	157436	19990	7	4	2.22
받지	157436	19990	7	4	2.22
학문이다	157436	19990	7	4	2.22
지나치게	157436	19990	7	4	2.22
시각적	157436	19990	7	4	2.22
빅데이터	157436	19990	7	4	2.22
특별한	157436	19990	7	4	2.22
시간에	157436	19990	7	4	2.22
보통은	157436	19990	7	4	2.22
유사하다	157436	19990	7	4	2.22
경우로	157436	19990	7	4	2.22
위기	157436	19990	7	4	2.22
심각한	157436	19990	7	4	2.22
남한에서	157436	19990	7	4	2.22
설명을	157436	19990	7	4	2.22
교류	157436	19990	7	4	2.22
태어난	157436	19990	7	4	2.22
사항	157436	19990	7	4	2.22
미비	157436	19990	7	4	2.22
1970	157436	19990	7	4	2.22
공통적으로	157436	19990	7	4	2.22
현실	157436	19990	7	4	2.22
중국에서	157436	19990	7	4	2.22
keyword	157436	19990	7	4	2.22
계셨나요	157436	19990	7	4	2.22
인터랙티브	157436	19990	7	4	2.22
맞춤형	157436	19990	7	4	2.22
자연어	157436	19990	15	6	2.21
연구에	157436	19990	15	6	2.21
기능을	157436	19990	35	10	2.17
가장	157436	19990	212	38	2.17
형태	157436	19990	11	5	2.17
현재의	157436	19990	11	5	2.17
분야의	157436	19990	20	7	2.15
표준어로	157436	19990	30	9	2.15
사회를	157436	19990	4	3	2.15
폰노이만	157436	19990	4	3	2.15
증명	157436	19990	4	3	2.15
씨앗	157436	19990	4	3	2.15
렌더링을	157436	19990	4	3	2.15
순위를	157436	19990	4	3	2.15
KOR	157436	19990	4	3	2.15
공존하는	157436	19990	4	3	2.15
기구를	157436	19990	4	3	2.15
비약적인	157436	19990	4	3	2.15
aenung	157436	19990	4	3	2.15
개념이지만	157436	19990	4	3	2.15
註	157436	19990	4	3	2.15
미얀마어	157436	19990	4	3	2.15
이들	157436	19990	25	8	2.14
위의	157436	19990	25	8	2.14
데이터	157436	19990	47	12	2.10
간	157436	19990	47	12	2.10
원시	157436	19990	36	10	2.09
기술	157436	19990	36	10	2.09
국가	157436	19990	53	13	2.09
에는	157436	19990	16	6	2.06
간의	157436	19990	16	6	2.06
말투가	157436	19990	16	6	2.06
무엇을	157436	19990	16	6	2.06
사용이	157436	19990	16	6	2.06
개인	157436	19990	16	6	2.06
보통	157436	19990	42	11	2.06
조선	157436	19990	42	11	2.06
JIT	157436	19990	26	8	2.04
표준어는	157436	19990	26	8	2.04
특정	157436	19990	60	14	2.02
한	157436	19990	324	53	2.01
2000	157436	19990	37	10	2.01
예술	157436	19990	12	5	2.00
교육	157436	19990	98	20	1.99
고대	157436	19990	43	11	1.99
사용하던	157436	19990	8	4	1.98
언어로는	157436	19990	8	4	1.98
wikipedia	157436	19990	8	4	1.98
org	157436	19990	8	4	1.98
개설	157436	19990	8	4	1.98
상태를	157436	19990	8	4	1.98
필요하다고	157436	19990	8	4	1.98
현장	157436	19990	8	4	1.98
인문학	157436	19990	8	4	1.98
극단적으로	157436	19990	8	4	1.98
보편적인	157436	19990	8	4	1.98
언어학과에서	157436	19990	8	4	1.98
정확히는	157436	19990	8	4	1.98
교육용	157436	19990	8	4	1.98
주기	157436	19990	8	4	1.98
하나에	157436	19990	8	4	1.98
떨어진다	157436	19990	8	4	1.98
직관적인	157436	19990	8	4	1.98
국가별	157436	19990	8	4	1.98
연맹	157436	19990	8	4	1.98
화자와	157436	19990	8	4	1.98
어휘의	157436	19990	8	4	1.98
교육은	157436	19990	8	4	1.98
않았고	157436	19990	8	4	1.98
화자들이	157436	19990	8	4	1.98
공문서	157436	19990	8	4	1.98
사전을	157436	19990	8	4	1.98
모음의	157436	19990	8	4	1.98
문제점이	157436	19990	8	4	1.98
사용은	157436	19990	8	4	1.98
되었죠	157436	19990	8	4	1.98
무발화	157436	19990	8	4	1.98
도미니카	157436	19990	8	4	1.98
사이의	157436	19990	32	9	1.98
SQL	157436	19990	32	9	1.98
웹	157436	19990	49	12	1.97
국가의	157436	19990	27	8	1.94
스위스	157436	19990	17	6	1.93
中文	157436	19990	17	6	1.93
받아	157436	19990	17	6	1.93
특성	157436	19990	22	7	1.93
인구	157436	19990	44	11	1.92
표준어를	157436	19990	50	12	1.91
7	157436	19990	244	41	1.91
또는	157436	19990	94	19	1.90
인류	157436	19990	33	9	1.90
년	157436	19990	224	38	1.88
차이가	157436	19990	121	23	1.87
에	157436	19990	169	30	1.86
객체	157436	19990	28	8	1.86
대표적인	157436	19990	51	12	1.85
언어학과의	157436	19990	13	5	1.84
습득	157436	19990	13	5	1.84
문서	157436	19990	241	40	1.83
만든	157436	19990	34	9	1.82
본다	157436	19990	18	6	1.82
연구의	157436	19990	18	6	1.82
인공지능	157436	19990	18	6	1.82
문화어는	157436	19990	18	6	1.82
언어로	157436	19990	178	31	1.81
컴파일이	157436	19990	5	3	1.81
종류를	157436	19990	5	3	1.81
미얀마	157436	19990	5	3	1.81
힐리어	157436	19990	5	3	1.81
관찰됐다	157436	19990	5	3	1.81
세계유산	157436	19990	5	3	1.81
의도적으로	157436	19990	5	3	1.81
1948	157436	19990	5	3	1.81
통일안에	157436	19990	5	3	1.81
않으나	157436	19990	5	3	1.81
언어와매체	157436	19990	5	3	1.81
위해	157436	19990	137	25	1.80
하나이며	157436	19990	2	2	1.79
다양합니다	157436	19990	2	2	1.79
넓지	157436	19990	2	2	1.79
목록에	157436	19990	2	2	1.79
일입니다	157436	19990	2	2	1.79
밀도를	157436	19990	2	2	1.79
측면에서는	157436	19990	2	2	1.79
아름답고	157436	19990	2	2	1.79
불려	157436	19990	2	2	1.79
왔습니다	157436	19990	2	2	1.79
남아시아에서	157436	19990	2	2	1.79
국어책임관은	157436	19990	2	2	1.79
국어기본법에	157436	19990	2	2	1.79
국가기관과	157436	19990	2	2	1.79
지방자치단체의	157436	19990	2	2	1.79
촉진하고	157436	19990	2	2	1.79
총괄하기	157436	19990	2	2	1.79
공무원이나	157436	19990	2	2	1.79
2011	157436	19990	2	2	1.79
지정으로	157436	19990	2	2	1.79
시민들에게	157436	19990	2	2	1.79
상담과	157436	19990	2	2	1.79
한글문화행사	157436	19990	2	2	1.79
펼치고	157436	19990	2	2	1.79
연찬회는	157436	19990	2	2	1.79
건으로	157436	19990	2	2	1.79
전년	157436	19990	2	2	1.79
영역별로는	157436	19990	2	2	1.79
한국사	157436	19990	2	2	1.79
섹션	157436	19990	2	2	1.79
바호어	157436	19990	2	2	1.79
바호어는	157436	19990	2	2	1.79
European	157436	19990	2	2	1.79
Day	157436	19990	2	2	1.79
기념하고	157436	19990	2	2	1.79
확인합니다	157436	19990	2	2	1.79
225	157436	19990	2	2	1.79
토착어가	157436	19990	2	2	1.79
기념하기	157436	19990	2	2	1.79
보았습니다	157436	19990	2	2	1.79
러시아에서는	157436	19990	2	2	1.79
차지했습니다	157436	19990	2	2	1.79
룩셈부르크에서는	157436	19990	2	2	1.79
연합에서	157436	19990	2	2	1.79
절차상에서	157436	19990	2	2	1.79
공용어이며	157436	19990	2	2	1.79
룩셈부르크에서도	157436	19990	2	2	1.79
프랑스를	157436	19990	2	2	1.79
개국이	157436	19990	2	2	1.79
거주하고	157436	19990	2	2	1.79
우크라이나의	157436	19990	2	2	1.79
루마니아와	157436	19990	2	2	1.79
러시아에서도	157436	19990	2	2	1.79
Italian	157436	19990	2	2	1.79
Slang	157436	19990	2	2	1.79
연락하기	157436	19990	2	2	1.79
증명서	157436	19990	2	2	1.79
언어교환	157436	19990	2	2	1.79
Speak	157436	19990	2	2	1.79
Any	157436	19990	2	2	1.79
교환	157436	19990	2	2	1.79
Mobile	157436	19990	2	2	1.79
CREDIT	157436	19990	2	2	1.79
Schneider	157436	19990	2	2	1.79
Shutterstock	157436	19990	2	2	1.79
